approved_id,status,category,target_item,priority,source,score,title,url,thing_id,license,creator,like_count,make_count,snippet,why_matched,folder_slug,file_formats,source_file_count,printable_file_count,has_step,has_parametric_source,file_notes
15904e8a7bae,approved,Buckets / Food Storage,bucket lid opener,high,thingiverse,10,Gamma Seal Lid Opener,https://www.thingiverse.com/thing:6541123,6541123,,Red-Card,29,,https://cdn.thingiverse.com/assets/ee/97/90/57/3d/cebf6559-5e30-496d-ad19-5175f7dd0676.jpg,target-overlap:2x4; concise-title,gamma_seal_lid_opener,,,,unknown,unknown,not checked
78084a303f32,approved,Buckets / Food Storage,bucket lid opener,high,thingiverse,10,Can opener and lid,https://www.thingiverse.com/thing:5401711,5401711,,entriage,400,5,https://cdn.thingiverse.com/assets/68/57/a4/0f/a8/CanLidOpenerLid_v3.5.png,target-overlap:2x4; concise-title,can_opener_and_lid,,,,unknown,unknown,not checked
590ebd38b5ea,approved,Buckets / Food Storage,jar funnel,high,thingiverse,16,Mason Jar Funnel,https://www.thingiverse.com/thing:1080926,1080926,,Mister_G,434,1,https://cdn.thingiverse.com/assets/c7/b4/e6/b1/c4/20151019_133843_HDR.jpg,target-overlap:2x4; good:funnel; good:jar; good:mason; concise-title,mason_jar_funnel,,,,unknown,unknown,not checked
6d59006d3f0c,approved,Buckets / Food Storage,jar funnel,high,thingiverse,16,Mason Jar Filter Funnel,https://www.thingiverse.com/thing:5404470,5404470,,keenef,49,,https://cdn.thingiverse.com/assets/36/fc/8c/eb/47/54b1f0c2-d8d9-4437-94f6-2a063b0851fd.png,target-overlap:2x4; good:funnel; good:jar; good:mason; concise-title,mason_jar_filter_funnel,,,,unknown,unknown,not checked
c19f52111f8d,approved,Buckets / Food Storage,jar funnel,high,thingiverse,14,funnel for spice jar,https://www.thingiverse.com/thing:3018579,3018579,,fabcam,87,,https://cdn.thingiverse.com/assets/02/06/a4/05/fd/IMG_5437.JPG,target-overlap:2x4; good:funnel; good:jar; concise-title,funnel_for_spice_jar,,,,unknown,unknown,not checked
30e6abad3c16,approved,Buckets / Food Storage,jar funnel,high,thingiverse,14,Jar funnel,https://www.thingiverse.com/thing:21802,21802,,Jaydmdigital,38,,https://cdn.thingiverse.com/site/img/default/Gears_thumb_medium.webp,target-overlap:2x4; good:funnel; good:jar; concise-title,jar_funnel,,,,unknown,unknown,not checked
839abdf68762,approved,Buckets / Food Storage,jar funnel,high,thingiverse,14,Jar funnel,https://www.thingiverse.com/thing:4659725,4659725,,st_engineering,25,,https://cdn.thingiverse.com/assets/40/b7/ec/df/ad/IMG_20201120_175854.jpg,target-overlap:2x4; good:funnel; good:jar; concise-title,jar_funnel,,,,unknown,unknown,not checked
abb7cd810b81,approved,Buckets / Food Storage,mason jar sprouting lid,high,thingiverse,20,Mason Jar Lid Holder,https://www.thingiverse.com/thing:3104717,3104717,,charlesodonnell,732,4,https://cdn.thingiverse.com/assets/48/43/13/59/da/IMG_3253.JPG,target-overlap:3x4; good:holder; good:jar; good:mason; concise-title,mason_jar_lid_holder,,,,unknown,unknown,not checked
6fa66494ae4e,approved,Buckets / Food Storage,mason jar sprouting lid,high,thingiverse,18,Mason Jar Lid Keeper,https://www.thingiverse.com/thing:4356934,4356934,,GeoffRE,841,7,https://cdn.thingiverse.com/assets/51/44/7e/70/22/IMG_1289.jpeg,target-overlap:3x4; good:jar; good:mason; concise-title,mason_jar_lid_keeper,,,,unknown,unknown,not checked
5875c27e5452,approved,Buckets / Food Storage,mason jar sprouting lid,high,thingiverse,16,Canning Jar Sprouting Lid,https://www.thingiverse.com/thing:28429,28429,,LexEnglish,988,11,https://cdn.thingiverse.com/renders/1a/06/be/1c/ba/sprouter.jpg,target-overlap:3x4; good:jar; concise-title,canning_jar_sprouting_lid,,,,unknown,unknown,not checked
