date,title,url,site,creator,license,license_class,model_folder
2026-06-10,Fully printable drop spindle by Jazznow | Download free STL model,https://www.printables.com/model/702168-fully-printable-drop-spindle,printables,UNKNOWN / NEEDS REVIEW,CC0 / Public Domain,OPEN,models/11_Craft_Textile_Tools/fully-printable-drop-spindle-by-jazznow-download-free-stl-model
2026-06-10,Fully printable drop spindle by Jazznow | Download free STL model,https://www.printables.com/model/702168-fully-printable-drop-spindle,printables,UNKNOWN / NEEDS REVIEW,UNKNOWN / NEEDS REVIEW,UNKNOWN,models/11_Craft_Textile_Tools/fully-printable-drop-spindle-by-jazznow-download-free-stl-model
2026-06-10,Drop Spindle by JLR art | Download free STL model,https://www.printables.com/model/1192931-drop-spindle,printables,UNKNOWN / NEEDS REVIEW,UNKNOWN / NEEDS REVIEW,UNKNOWN,models/11_Craft_Textile_Tools/drop-spindle-by-jlr-art-download-free-stl-model
2026-06-10,Fully printable drop spindle by Jazznow | Download free STL model,https://www.printables.com/model/702168-fully-printable-drop-spindle,printables,@Jazznow_542882,CC BY-NC-ND,RESTRICTED,models/11_Craft_Textile_Tools/fully-printable-drop-spindle-by-jazznow-download-free-stl-model
2026-06-10,Garden Irrigation Spray System - Garten BewÃ¤sserung System by schiffer-soft.de | Download free STL model,https://www.printables.com/model/864-garden-irrigation-spray-system-garten-bewasserung-,printables,schiffer-soft.de,CC BY-NC-SA,RESTRICTED,models/01_Water_Hose_Irrigation/garden-irrigation-spray-system-garten-bew-sserung-system-by-schiffer-soft-de-download-free
2026-06-10,Irrigation Fittings by ArtisticMusician | Download free STL model,https://www.printables.com/model/625991-irrigation-fittings/files,printables,ArtisticMusician,CC BY-NC-ND,RESTRICTED,models/01_Water_Hose_Irrigation/irrigation-fittings-by-artisticmusician-download-free-stl-model
2026-06-10,Irrigation pipe to garden hose system adapter by ueda | Download free STL model,https://www.printables.com/model/835270-irrigation-pipe-to-garden-hose-system-adapter,printables,@UedaIchitaka_1943924,CC BY-NC-SA,RESTRICTED,models/01_Water_Hose_Irrigation/irrigation-pipe-to-garden-hose-system-adapter-by-ueda-download-free-stl-model
